Date,Open,High,Low,Close,Adj Close,Volume
2020-08-21,30.081095,30.755196,30.060822,30.643690,30.643690,4371182
2020-08-24,31.373543,31.525597,30.998480,31.201216,31.201216,2523467
2020-08-25,31.201216,31.373543,30.638620,30.734921,30.734921,2681110
2020-08-26,31.332994,31.561075,30.836290,31.490116,31.490116,4099499
2020-08-27,31.728333,32.022301,31.155602,31.642170,31.642170,7382966
2020-08-28,33.213383,34.272682,32.843388,33.558033,33.558033,17972452
2020-08-31,33.233654,34.145969,33.162697,33.492146,33.492146,5917619
2020-09-01,33.664471,33.877342,33.304611,33.639130,33.639130,4548357
2020-09-02,33.922958,34.774456,33.623924,34.703499,34.703499,4577755
2020-09-03,34.019260,34.298023,32.640648,33.218449,33.218449,4005387
2020-09-04,33.117081,33.552963,31.996960,32.767361,32.767361,4566114
2020-09-08,31.956411,33.238724,31.784084,32.513939,32.513939,5832188
2020-09-09,33.000507,34.151039,32.843388,33.877342,33.877342,6426653
2020-09-10,33.998985,34.120628,32.965027,33.167767,33.167767,3963757
2020-09-11,33.309681,33.831730,33.086670,33.649265,33.649265,3386852
2020-09-14,33.958439,34.353775,33.694881,33.882412,33.882412,4197755
2020-09-15,34.211861,34.531170,33.821590,34.009125,34.009125,2875450
2020-09-16,34.298023,34.749111,34.125698,34.145969,34.145969,4367433
2020-09-17,33.618855,34.287888,33.193108,33.735428,33.735428,4471213
2020-09-18,33.770908,34.039536,33.360367,33.639130,33.639130,21878202
2020-09-21,32.828178,33.208313,32.295998,33.198174,33.198174,4275294
2020-09-22,33.512417,33.618855,32.929550,33.608719,33.608719,2148794
2020-09-23,34.069942,34.130764,33.122150,33.253929,33.253929,4193414
2020-09-24,33.010643,33.436390,32.615307,33.132286,33.132286,3206322
2020-09-25,32.944756,33.380638,32.762291,33.309681,33.309681,2413768
2020-09-28,33.862141,34.282818,33.689812,34.115559,34.115559,3783622
2020-09-29,34.206791,34.713634,33.902687,34.668018,34.668018,2713467
2020-09-30,34.662949,34.911304,34.044601,34.308159,34.308159,3286229
2020-10-01,34.556515,34.723770,34.019260,34.232136,34.232136,2183716
2020-10-02,33.395844,34.277748,33.309681,34.039536,34.039536,1975565
2020-10-05,34.409531,34.622402,34.110493,34.571716,34.571716,4981036
2020-10-06,34.510899,34.911304,34.059807,34.201721,34.201721,3792698
2020-10-07,34.622402,34.647743,33.993919,34.166245,34.166245,4220050
2020-10-08,34.211861,35.083630,34.181450,34.799797,34.799797,4895013
2020-10-09,35.017738,35.195133,34.637608,34.662949,34.662949,2297559
2020-10-12,34.794727,35.230614,34.718700,35.098835,35.098835,1562221
2020-10-13,35.478966,36.006081,35.250889,35.737457,35.737457,3167454
2020-10-14,35.859097,36.213886,35.620880,35.808414,35.808414,2077372
2020-10-15,35.240749,35.681702,34.896095,35.499241,35.499241,2558192
2020-10-16,35.894577,36.092243,35.539787,35.554993,35.554993,2992055
2020-10-19,35.681702,35.940193,35.088696,35.225544,35.225544,2087631
2020-10-20,35.544857,35.676636,35.159657,35.179928,35.179928,1474620
2020-10-21,35.337051,35.762798,35.154587,35.392803,35.392803,3767641
2020-10-22,35.691841,35.691841,34.353775,34.860619,34.860619,2001214
2020-10-23,34.840343,34.901165,34.384186,34.556515,34.556515,2602979
2020-10-26,34.135834,34.206791,32.407501,32.812977,32.812977,3910486
2020-10-27,32.843388,32.939686,32.179420,32.219971,32.219971,1867642
2020-10-28,31.444502,31.647238,30.750128,30.765331,30.765331,3457485
2020-10-29,30.658895,30.932590,30.319311,30.674101,30.674101,3550216
2020-10-30,30.633553,30.851496,29.842878,30.542320,30.542320,3561265
2020-11-02,31.013685,31.150532,30.440952,30.557528,30.557528,2206603
2020-11-03,30.952864,31.865179,30.922453,31.297516,31.297516,1673893
2020-11-04,31.662443,31.956411,31.089710,31.540800,31.540800,3366135
2020-11-05,32.032436,32.742016,31.931068,32.696400,32.696400,3003301
2020-11-06,32.802837,32.883934,32.133804,32.736950,32.736950,1501650
2020-11-09,33.416119,33.476940,32.534210,32.559555,32.559555,2973508
2020-11-10,32.508869,33.041054,32.067917,32.747086,32.747086,3444266
2020-11-11,33.081600,33.081600,32.473392,32.883934,32.883934,1970830
2020-11-12,32.868729,33.162697,32.407501,32.650787,32.650787,2410809
2020-11-13,32.924480,33.547897,32.828178,33.507347,33.507347,2973903
2020-11-16,33.720222,34.216930,33.253929,34.135834,34.135834,2832636
2020-11-17,33.877342,34.566650,33.735428,34.394321,34.394321,1966094
2020-11-18,34.693359,34.855549,34.181450,34.262543,34.262543,2527413
2020-11-19,34.191586,34.830208,33.811455,34.718700,34.718700,4564141
2020-11-20,34.815002,35.068424,34.617332,34.637608,34.637608,2840331
2020-11-23,34.769386,35.397869,34.738976,35.164722,35.164722,2931286
2020-11-24,35.478966,35.732388,35.174862,35.646225,35.646225,5787006
2020-11-25,35.392803,35.468830,34.085152,35.149517,35.149517,8768407
2020-11-27,35.154587,35.590469,34.987328,35.387733,35.387733,2779365
2020-11-30,35.600609,35.691841,34.470348,34.987328,34.987328,4739935
2020-12-01,35.402939,35.869236,35.002533,35.742523,35.742523,6792842
2020-12-02,35.783070,36.036491,35.311707,35.742523,35.742523,4693964
2020-12-03,35.894577,36.244297,35.524582,35.940193,35.940193,4426623
2020-12-04,36.006081,36.634567,35.808414,36.543335,36.543335,5061337
2020-12-07,36.609226,36.817032,35.458691,35.671566,35.671566,6222645
2020-12-08,35.641155,36.452103,35.549923,36.426762,36.426762,3625585
2020-12-09,36.563610,36.984287,35.990875,36.254436,36.254436,4662396
2020-12-10,35.960464,36.614292,35.636086,36.573746,36.573746,4902116
2020-12-11,36.345665,36.766346,36.061836,36.310188,36.310188,2887091
2020-12-14,36.492653,36.984287,36.452103,36.710594,36.710594,4259312
2020-12-15,37.161682,37.445515,36.685249,37.374557,37.374557,3963362
2020-12-16,37.480991,37.653320,37.328941,37.440445,37.440445,3201982
2020-12-17,37.592499,37.921947,37.572224,37.866196,37.866196,3632490
2020-12-18,38.013180,38.210846,36.685249,36.958946,36.958946,9961677
2020-12-21,36.654839,37.171822,36.001015,37.029903,37.029903,3446042
2020-12-22,37.354282,37.440445,36.771416,36.862644,36.862644,2565492
2020-12-23,36.948811,37.430309,36.690319,37.202229,37.202229,3252096
2020-12-24,37.384693,37.450584,36.872784,36.994427,36.994427,3294318
2020-12-28,37.278255,37.379623,36.715660,36.923466,36.923466,6292884
2020-12-29,36.969082,37.364422,36.163204,36.239231,36.239231,8200972
2020-12-30,36.330460,37.024834,36.249367,36.746071,36.746071,8683962
2020-12-31,36.852509,37.187023,36.477448,37.146477,37.146477,2456188
2021-01-04,37.450584,37.450584,36.335529,36.741005,36.741005,6927203
2021-01-05,36.441967,37.496201,36.239231,37.232639,37.232639,4051555
2021-01-06,37.161682,38.129753,36.953876,37.541813,37.541813,5155844
2021-01-07,38.013180,38.697414,37.774963,38.692348,38.692348,4542635
2021-01-08,38.824127,39.234669,38.393311,39.138367,39.138367,5304213
2021-01-11,38.656868,38.945766,38.332489,38.332489,38.332489,2937402
2021-01-12,38.449062,38.905220,38.307144,38.900150,38.900150,2739511
2021-01-13,37.886467,38.003040,35.570198,36.102383,36.102383,15098974
2021-01-14,36.137859,37.430309,36.117588,37.126205,37.126205,8655156
2021-01-15,37.075520,37.962494,36.933605,37.638115,37.638115,6529052
2021-01-19,37.795235,38.028381,37.658386,37.942219,37.942219,4898170
2021-01-20,38.489609,39.118095,37.972630,39.052204,39.052204,6958771
2021-01-21,39.310696,39.391788,38.469337,38.976177,38.976177,4772095
2021-01-22,38.423721,38.611252,38.028381,38.489609,38.489609,2249417
2021-01-25,38.692348,38.712620,37.257984,38.357830,38.357830,2686437
2021-01-26,38.520020,38.768372,37.987835,38.540295,38.540295,2520508
2021-01-27,37.815510,38.388241,37.105930,37.435379,37.435379,5637650
2021-01-28,37.425240,38.109478,36.938671,37.465790,37.465790,5227858
2021-01-29,37.222504,37.800304,36.680183,36.943741,36.943741,3720683
2021-02-01,37.328941,37.871262,36.847439,37.480991,37.480991,3231379
2021-02-02,39.016727,39.396858,38.732895,39.113026,39.113026,8058324
2021-02-03,38.900150,39.700962,38.900150,39.406994,39.406994,2721754
2021-02-04,39.619869,40.212875,39.559048,40.197670,40.197670,2943321
2021-02-05,40.293968,40.587936,40.136848,40.349720,40.349720,3535616
2021-02-08,40.547390,40.907249,40.293968,40.516979,40.516979,9876049
2021-02-09,40.192600,40.511909,39.939178,40.339584,40.339584,8452332
2021-02-10,40.461227,40.547390,39.746578,40.334515,40.334515,9603578
2021-02-11,40.466293,40.608212,39.457680,40.293968,40.293968,3077091
2021-02-12,40.314243,40.577801,39.964520,40.572731,40.572731,3497340
2021-02-16,40.937656,41.008617,39.771919,40.263557,40.263557,6170952
2021-02-17,39.959454,40.532185,39.842880,40.172325,40.172325,3593819
2021-02-18,39.898632,40.816017,39.619869,40.390270,40.390270,3027174
2021-02-19,40.881905,41.216423,40.567661,40.937656,40.937656,3269853
2021-02-22,40.886974,41.550938,40.314243,40.937656,40.937656,5745968
2021-02-23,40.547390,40.993412,39.042068,40.831223,40.831223,5043975
2021-02-24,40.947796,41.520527,40.755196,41.403954,41.403954,3969676
2021-02-25,41.054234,41.358337,40.025341,40.385201,40.385201,5594047
2021-02-26,40.892044,42.164219,40.547390,41.089710,41.089710,6943776
2021-03-01,41.094780,42.290928,41.094780,42.113533,42.113533,4621753
2021-03-02,42.067917,42.356815,41.632030,41.920933,41.920933,2937205
2021-03-03,42.108463,42.660923,41.834770,42.372021,42.372021,5848564
2021-03-04,42.280792,42.777496,41.277245,41.966549,41.966549,5422791
2021-03-05,42.508869,43.431324,42.255447,43.258995,43.258995,6930557
2021-03-08,43.547897,43.938164,43.051189,43.137356,43.137356,6884981
2021-03-09,43.634060,44.531170,43.588444,43.836796,43.836796,4318897
2021-03-10,44.059807,44.657883,43.968575,44.439938,44.439938,4408866
2021-03-11,44.602131,45.347187,44.602131,44.916370,44.916370,7447286
2021-03-12,44.865688,45.027878,44.429802,45.017738,45.017738,2858088
2021-03-15,44.977192,45.271160,44.713634,45.261024,45.261024,5621472
2021-03-16,45.362392,45.509377,44.733910,45.149517,45.149517,5880329
2021-03-17,44.997467,46.381145,44.668018,46.264572,46.264572,6162468
2021-03-18,45.848961,45.848961,44.627472,44.657883,44.657883,6201731
2021-03-19,44.460213,44.987328,44.374050,44.414597,44.414597,7791772
2021-03-22,44.313229,44.744045,44.059807,44.272682,44.272682,6212385
2021-03-23,44.135834,44.576786,42.985302,43.461735,43.461735,5250745
2021-03-24,43.755703,44.298023,43.507347,43.765839,43.765839,5446269
2021-03-25,43.162697,44.044601,43.030918,43.583378,43.583378,3417039
2021-03-26,43.928028,45.108971,43.694881,45.103905,45.103905,5169063
2021-03-29,44.941711,45.428284,44.485554,44.708565,44.708565,4094567
2021-03-30,44.439938,45.134312,44.404461,44.901165,44.901165,4601036
2021-03-31,44.931576,45.108971,44.571716,44.678154,44.678154,3239271
2021-04-01,44.744045,45.276230,44.647743,45.149517,45.149517,3805720
2021-04-05,45.230614,45.524582,45.083630,45.291435,45.291435,5019707
2021-04-06,45.326912,45.600609,45.108971,45.352257,45.352257,4943154
2021-04-07,45.423214,46.837303,45.423214,46.381145,46.381145,5613974
2021-04-08,46.781551,47.075520,45.914848,46.923466,46.923466,6963309
2021-04-09,46.781551,47.648251,46.700455,47.582363,47.582363,4034193
2021-04-12,47.009628,47.663456,46.908260,47.364422,47.364422,4027090
2021-04-13,47.480991,47.480991,46.822098,46.898125,46.898125,3293332
2021-04-14,46.969082,47.394829,46.908260,46.984287,46.984287,5620682
2021-04-15,49.700962,51.307652,48.317284,50.136848,50.136848,26547702
2021-04-16,50.547390,51.784084,50.288898,51.403954,51.403954,11333504
2021-04-19,51.393818,52.610237,51.120121,52.417637,52.417637,7467805
2021-04-20,52.432842,52.468323,51.267105,51.434364,51.434364,5472510
2021-04-21,51.327927,51.860111,51.206284,51.398884,51.398884,4750787
2021-04-22,51.388748,51.702991,50.739990,50.932590,50.932590,3146540
2021-04-23,51.180943,51.591484,50.932590,51.398884,51.398884,5709862
2021-04-26,51.419159,51.561073,50.765331,50.876839,50.876839,5005304
2021-04-27,50.826153,51.358337,50.790672,51.044094,51.044094,3814598
2021-04-28,51.165737,51.165737,50.364925,50.390270,50.390270,1792668
2021-04-29,50.760265,51.059299,50.410542,50.684238,50.684238,2896167
2021-04-30,50.491638,50.542320,49.746578,49.837811,49.837811,2448888
2021-05-03,50.278763,50.435883,49.493156,49.559048,49.559048,5167682
2021-05-04,49.163712,49.270145,48.585911,48.920425,48.920425,4061618
